Open_Date,Open_Time,Close_Date,Close_Time,Day,Hour,Type,Entry,SL,TP,Result,RR,PnL_pts
2023-12-26,16:30:00,2023-12-26,17:30:00,Tuesday,17:30:00,LONG,2074.9,2072.9,2076.9,SL,-1,-2.0
2023-12-27,14:30:00,2023-12-27,15:30:00,Wednesday,15:30:00,LONG,2079.6,2076.9,2082.3,SL,-1,-2.7
2023-12-27,02:30:00,2023-12-27,20:30:00,Wednesday,20:30:00,LONG,2079.9,2072.7,2087.1,TP,1,7.2
2023-12-27,20:30:00,2023-12-27,20:30:00,Wednesday,20:30:00,LONG,2084.2,2077.9,2090.5,TP,1,6.3
2023-12-29,02:30:00,2023-12-29,06:30:00,Friday,06:30:00,SHORT,2076.2,2078.9,2073.5,SL,-1,-2.7
2023-12-29,15:30:00,2023-12-29,18:30:00,Friday,18:30:00,SHORT,2074.0,2079.1,2068.9,TP,1,5.1
2023-12-29,18:30:00,2023-12-29,18:30:00,Friday,18:30:00,SHORT,2073.8,2078.1,2069.5,TP,1,4.3
2024-01-03,15:30:00,2024-01-03,16:30:00,Wednesday,16:30:00,SHORT,2062.3,2068.8,2055.8,TP,1,6.5
2024-01-04,19:30:00,2024-01-04,20:30:00,Thursday,20:30:00,SHORT,2046.1,2054.7,2037.5,SL,-1,-8.6
2024-01-05,15:30:00,2024-01-05,18:30:00,Friday,18:30:00,SHORT,2045.2,2050.8,2039.6,TP,1,5.6
2024-01-08,10:30:00,2024-01-08,10:30:00,Monday,10:30:00,SHORT,2042.2,2044.4,2040.0,TP,1,2.2
2024-01-10,11:30:00,2024-01-10,12:30:00,Wednesday,12:30:00,SHORT,2030.8,2035.6,2026.0,SL,-1,-4.8
2024-01-10,23:30:00,2024-01-11,06:30:00,Thursday,06:30:00,SHORT,2027.6,2033.3,2021.9,SL,-1,-5.7
2024-01-11,12:30:00,2024-01-11,13:30:00,Thursday,13:30:00,LONG,2039.3,2036.3,2042.3,SL,-1,-3.0
2024-01-11,22:30:00,2024-01-12,02:30:00,Friday,02:30:00,SHORT,2017.6,2034.0,2001.2,SL,-1,-16.4
2024-01-12,13:30:00,2024-01-12,15:30:00,Friday,15:30:00,LONG,2043.7,2038.3,2049.1,TP,1,5.4
2024-01-15,07:30:00,2024-01-15,07:30:00,Monday,07:30:00,LONG,2055.3,2051.2,2059.4,TP,1,4.1
2024-01-16,18:30:00,2024-01-16,18:30:00,Tuesday,18:30:00,SHORT,2039.1,2043.8,2034.4,SL,-1,-4.7
2024-01-16,22:30:00,2024-01-17,08:30:00,Wednesday,08:30:00,SHORT,2035.9,2045.0,2026.8,TP,1,9.1
2024-01-17,14:30:00,2024-01-17,15:30:00,Wednesday,15:30:00,SHORT,2024.3,2029.5,2019.1,SL,-1,-5.2
2024-01-17,20:30:00,2024-01-19,04:30:00,Friday,04:30:00,SHORT,2014.5,2026.4,2002.6,SL,-1,-11.9
2024-01-19,02:30:00,2024-01-19,10:30:00,Friday,10:30:00,LONG,2025.2,2022.3,2028.1,SL,-1,-2.9
2024-01-19,12:30:00,2024-01-19,12:30:00,Friday,12:30:00,LONG,2026.1,2022.6,2029.6,TP,1,3.5
2024-01-22,12:30:00,2024-01-22,12:30:00,Monday,12:30:00,SHORT,2021.5,2025.9,2017.1,SL,-1,-4.4
2024-01-23,11:30:00,2024-01-23,12:30:00,Tuesday,12:30:00,LONG,2032.9,2028.6,2037.2,TP,1,4.3
2024-01-24,14:30:00,2024-01-24,18:30:00,Wednesday,18:30:00,LONG,2033.4,2029.2,2037.6,TP,1,4.2
2024-01-24,16:30:00,2024-01-24,18:30:00,Wednesday,18:30:00,LONG,2034.2,2030.5,2037.9,TP,1,3.7
2024-01-24,21:30:00,2024-01-25,18:30:00,Thursday,18:30:00,SHORT,2015.6,2026.4,2004.8,TP,1,10.8
2024-01-25,18:30:00,2024-01-25,18:30:00,Thursday,18:30:00,SHORT,2013.5,2017.8,2009.2,TP,1,4.3
2024-01-29,08:30:00,2024-01-29,12:30:00,Monday,12:30:00,LONG,2024.5,2020.6,2028.4,TP,1,3.9
2024-01-29,12:30:00,2024-01-29,12:30:00,Monday,12:30:00,LONG,2028.2,2023.9,2032.5,TP,1,4.3
2024-01-29,18:30:00,2024-01-29,18:30:00,Monday,18:30:00,LONG,2029.7,2027.5,2031.9,SL,-1,-2.2
2024-01-30,13:30:00,2024-01-30,13:30:00,Tuesday,13:30:00,LONG,2040.0,2032.8,2047.2,TP,1,7.2
2024-01-31,02:30:00,2024-01-31,05:30:00,Wednesday,05:30:00,LONG,2055.0,2053.6,2056.4,TP,1,1.4
2024-01-31,13:30:00,2024-01-31,18:30:00,Wednesday,18:30:00,LONG,2056.5,2051.8,2061.2,TP,1,4.7
2024-01-31,18:30:00,2024-01-31,18:30:00,Wednesday,18:30:00,LONG,2057.7,2055.0,2060.4,TP,1,2.7
2024-02-01,16:30:00,2024-02-01,18:30:00,Thursday,18:30:00,SHORT,2047.5,2058.4,2036.6,SL,-1,-10.9
2024-02-02,09:30:00,2024-02-02,10:30:00,Friday,10:30:00,LONG,2072.2,2070.8,2073.6,TP,1,1.4
2024-02-02,17:30:00,2024-02-02,17:30:00,Friday,17:30:00,LONG,2073.2,2070.7,2075.7,SL,-1,-2.5
2024-02-01,21:30:00,2024-02-02,18:30:00,Friday,18:30:00,LONG,2070.8,2056.8,2084.8,SL,-1,-14.0
2024-02-05,08:30:00,2024-02-05,11:30:00,Monday,11:30:00,SHORT,2049.2,2055.0,2043.4,TP,1,5.8
2024-02-06,21:30:00,2024-02-08,13:30:00,Thursday,13:30:00,LONG,2054.5,2045.7,2063.3,SL,-1,-8.8
2024-02-08,17:30:00,2024-02-09,18:30:00,Friday,18:30:00,SHORT,2042.7,2051.3,2034.1,SL,-1,-8.6
2024-02-09,18:30:00,2024-02-09,18:30:00,Friday,18:30:00,SHORT,2043.0,2046.7,2039.3,SL,-1,-3.7
2024-02-12,07:30:00,2024-02-12,13:30:00,Monday,13:30:00,SHORT,2037.5,2040.8,2034.2,SL,-1,-3.3
2024-02-12,18:30:00,2024-02-12,18:30:00,Monday,18:30:00,SHORT,2034.5,2036.4,2032.6,TP,1,1.9
2024-02-13,14:30:00,2024-02-13,15:30:00,Tuesday,15:30:00,LONG,2039.8,2037.9,2041.7,TP,1,1.9
2024-02-02,19:30:00,2024-02-13,18:30:00,Tuesday,18:30:00,SHORT,2046.1,2074.7,2017.5,TP,1,28.6
2024-02-16,11:30:00,2024-02-16,11:30:00,Friday,11:30:00,LONG,2016.5,2015.2,2017.8,SL,-1,-1.3
2024-02-16,14:30:00,2024-02-16,16:30:00,Friday,16:30:00,LONG,2017.3,2015.4,2019.2,TP,1,1.9
2024-02-15,19:30:00,2024-02-16,18:30:00,Friday,18:30:00,LONG,2016.2,2007.1,2025.3,SL,-1,-9.1
2024-02-15,23:30:00,2024-02-16,18:30:00,Friday,18:30:00,LONG,2016.2,2011.7,2020.7,SL,-1,-4.5
2024-02-16,22:30:00,2024-02-16,22:30:00,Friday,22:30:00,LONG,2022.9,2019.1,2026.7,TP,1,3.8
2024-02-21,08:30:00,2024-02-21,20:30:00,Wednesday,20:30:00,LONG,2040.3,2036.4,2044.2,SL,-1,-3.9
2024-02-22,00:30:00,2024-02-22,00:30:00,Thursday,00:30:00,SHORT,2032.1,2035.7,2028.5,SL,-1,-3.6
2024-02-22,13:30:00,2024-02-22,13:30:00,Thursday,13:30:00,LONG,2042.2,2039.0,2045.4,TP,1,3.2
2024-02-22,21:30:00,2024-02-23,04:30:00,Friday,04:30:00,SHORT,2029.9,2035.4,2024.4,SL,-1,-5.5
2024-02-23,14:30:00,2024-02-23,15:30:00,Friday,15:30:00,SHORT,2027.6,2032.1,2023.1,SL,-1,-4.5
2024-02-13,19:30:00,2024-02-23,21:30:00,Friday,21:30:00,SHORT,2016.2,2047.3,1985.1,SL,-1,-31.1
2024-02-23,22:30:00,2024-02-26,05:30:00,Monday,05:30:00,LONG,2048.5,2040.0,2057.0,SL,-1,-8.5
2024-02-27,13:30:00,2024-02-27,13:30:00,Tuesday,13:30:00,LONG,2045.7,2042.6,2048.8,TP,1,3.1
2024-02-28,01:30:00,2024-02-28,06:30:00,Wednesday,06:30:00,SHORT,2038.8,2042.0,2035.6,SL,-1,-3.2
2024-02-28,12:30:00,2024-02-28,14:30:00,Wednesday,14:30:00,SHORT,2037.4,2040.9,2033.9,TP,1,3.5
